a,71052,a,a ,'a
aarón,3,aarón,a . a ' 4 o n ,a.a'4on
aba,1,aba,' a . B_o a ,'a.ba
abad,27,abad,a ' B_o a D ,a'bad
abades,2,abades,a ' B_o a . D_o e s ,a'ba.des
abadía,3,abadía,a . B_o a ' D_o i a ,a.ba'dia
abaixo,1,abaixo,a ' B_o a i_^ k . s o ,a'baik.so
abajo,412,abajo,a ' B_o a . x o ,a'ba.xo
abal,1,abal,a ' B_o a l ,a'bal
abalada,1,abalada,a . B_o a ' l a . D_o a ,a.ba'la.da
abalanzaba,1,abalanzaba,a . B_o a . l a n_d_+ ' T a . B_o a ,a.ba.lan'Ta.ba
abalanzaban,1,abalanzaban,a . B_o a . l a n_d_+ ' T a . B_o a n ,a.ba.lan'Ta.ban
abalanzarse,1,abalanzarse,a . B_o a . l a n_d_+ ' T a 4 . s e ,a.ba.lan'Ta4.se
abalanzó,1,abalanzó,a . B_o a . l a n_d_+ ' T o ,a.ba.lan'To
abánades,2,abánades,a ' B_o a . n a . D_o e s ,a'ba.na.des
abanderado,1,abanderado,a . B_o a n_d . d e ' 4 a . D_o o ,a.ban.de'4a.do
abanderados,1,abanderados,a . B_o a n_d . d e ' 4 a . D_o o s ,a.ban.de'4a.dos
abanderando,1,abanderando,a . B_o a n_d . d e ' 4 a n_d . d o ,a.ban.de'4an.do
abandona,29,abandona,a . B_o a n_d ' d o . n a ,a.ban'do.na
abandonaba,4,abandonaba,a . B_o a n_d . d o ' n a . B_o a ,a.ban.do'na.ba
abandonaban,1,abandonaban,a . B_o a n_d . d o ' n a . B_o a n ,a.ban.do'na.ban
abandonada,15,abandonada,a . B_o a n_d . d o ' n a . D_o a ,a.ban.do'na.da
abandonadas,5,abandonadas,a . B_o a n_d . d o ' n a . D_o a s ,a.ban.do'na.das
abandonado,41,abandonado,a . B_o a n_d . d o ' n a . D_o o ,a.ban.do'na.do
abandonados,17,abandonados,a . B_o a n_d . d o ' n a . D_o o s ,a.ban.do'na.dos
abandonamos,2,abandonamos,a . B_o a n_d . d o ' n ~a . m o s ,a.ban.do'na.mos
abandonan,8,abandonan,a . B_o a n_d ' d o . n ~a n ,a.ban'do.nan
abandonando,3,abandonando,a . B_o a n_d . d o ' n ~a n_d . d o ,a.ban.do'nan.do
abandonar,63,abandonar,a . B_o a n_d . d o ' n a 4 ,a.ban.do'na4
abandonara,2,abandonara,a . B_o a n_d . d o ' n a . 4 a ,a.ban.do'na.4a
abandonará,3,abandonará,a . B_o a n_d . d o . n a ' 4 a ,a.ban.do.na'4a
abandonaran,1,abandonaran,a . B_o a n_d . d o ' n a . 4 a n ,a.ban.do'na.4an
abandonaría,1,abandonaría,a . B_o a n_d . d o . n a ' 4 i a ,a.ban.do.na'4ia
abandonarían,1,abandonarían,a . B_o a n_d . d o . n a ' 4 i a n ,a.ban.do.na'4ian
abandonarla,1,abandonarla,a . B_o a n_d . d o ' n a 4 l a ,a.ban.do'na4la
abandonarlas,1,abandonarlas,a . B_o a n_d . d o ' n a 4 l a s ,a.ban.do'na4las
abandonarle,1,abandonarle,a . B_o a n_d . d o ' n a 4 l e ,a.ban.do'na4le
abandonarlos,1,abandonarlos,a . B_o a n_d . d o ' n a 4 l o s ,a.ban.do'na4los
abandonaron,5,abandonaron,a . B_o a n_d . d o ' n a . 4 o n ,a.ban.do'na.4on
abandonarse,1,abandonarse,a . B_o a n_d . d o ' n a 4 . s e ,a.ban.do'na4.se
abandonas,3,abandonas,a . B_o a n_d ' d o . n a s ,a.ban'do.nas
abandonase,1,abandonase,a . B_o a n_d . d o ' n a . s e ,a.ban.do'na.se
abandonaste,3,abandonaste,a . B_o a n_d . d o ' n a s . t e ,a.ban.do'nas.te
abandone,6,abandone,a . B_o a n_d ' d o . n e ,a.ban'do.ne
abandoné,6,abandoné,a . B_o a n_d . d o ' n e ,a.ban.do'ne
abandonemos,1,abandonemos,a . B_o a n_d . d o ' n ~e . m o s ,a.ban.do'ne.mos
abandonen,8,abandonen,a . B_o a n_d ' d o . n ~e n ,a.ban'do.nen
abandono,39,abandono,a . B_o a n_d ' d o . n o ,a.ban'do.no
abandonó,20,abandonó,a . B_o a n_d . d o ' n o ,a.ban.do'no
abandonos,2,abandonos,a . B_o a n_d ' d o . n o s ,a.ban'do.nos
abanico,21,abanico,a . B_o a ' n i . k o ,a.ba'ni.ko
abanicos,4,abanicos,a . B_o a ' n i . k o s ,a.ba'ni.kos
abanique,1,abanique,a . B_o a ' n i . k e ,a.ba'ni.ke
abarata,1,abarata,a . B_o a ' 4 a . t a ,a.ba'4a.ta
abaratar,4,abaratar,a . B_o a . 4 a ' t a 4 ,a.ba.4a'ta4
abarate,1,abarate,a . B_o a ' 4 a . t e ,a.ba'4a.te
abarca,15,abarca,a ' B_o a 4 . k a ,a'ba4.ka
abarcaba,1,abarcaba,a . B_o a 4 ' k a . B_o a ,a.ba4'ka.ba
abarcado,2,abarcado,a . B_o a 4 ' k a . D_o o ,a.ba4'ka.do
abarcando,2,abarcando,a . B_o a 4 ' k a n_d . d o ,a.ba4'kan.do
abarcar,5,abarcar,a . B_o a 4 ' k a 4 ,a.ba4'ka4
abarcará,1,abarcará,a . B_o a 4 . k a ' 4 a ,a.ba4.ka'4a
abarcarla,1,abarcarla,a . B_o a 4 ' k a 4 l a ,a.ba4'ka4la
abarcarlas,1,abarcarlas,a . B_o a 4 ' k a 4 l a s ,a.ba4'ka4las
abarcas,1,abarcas,a ' B_o a 4 . k a s ,a'ba4.kas
abarque,1,abarque,a ' B_o a 4 . k e ,a'ba4.ke
abarqué,1,abarqué,a . B_o a 4 ' k e ,a.ba4'ke
abarquemos,1,abarquemos,a . B_o a 4 ' k e . m o s ,a.ba4'ke.mos
abarrotada,2,abarrotada,a . B_o a . r o ' t a . D_o a ,a.ba.ro'ta.da
abarrotadísimo,1,abarrotadísimo,a . B_o a . r o . t a ' D_o i . s i . m o ,a.ba.ro.ta'di.si.mo
abarrotados,2,abarrotados,a . B_o a . r o ' t a . D_o o s ,a.ba.ro'ta.dos
abarrotamiento,1,abarrotamiento,a . B_o a . r o . t a ' m j e n_d . t o ,a.ba.ro.ta'mjen.to
abascal,15,abascal,a . B_o a s ' k a l ,a.bas'kal
abastecen,1,abastecen,a . B_o a s ' t e . T e n ,a.bas'te.Ten
abastecer,4,abastecer,a . B_o a s . t e ' T e 4 ,a.bas.te'Te4
abastecerse,1,abastecerse,a . B_o a s . t e ' T e 4 . s e ,a.bas.te'Te4.se
abastecimiento,1,abastecimiento,a . B_o a s . t e . T i ' m j e n_d . t o ,a.bas.te.Ti'mjen.to
abastecimientos,1,abastecimientos,a . B_o a s . t e . T i ' m j e n_d . t o s ,a.bas.te.Ti'mjen.tos
abasto,1,abasto,a ' B_o a s . t o ,a'bas.to
abastos,6,abastos,a ' B_o a s . t o s ,a'bas.tos
abatibles,1,abatibles,a . B_o a ' t i . B_o l e s ,a.ba'ti.bles
abatida,1,abatida,a . B_o a ' t i . D_o a ,a.ba'ti.da
abatido,1,abatido,a . B_o a ' t i . D_o o ,a.ba'ti.do
abatidos,4,abatidos,a . B_o a ' t i . D_o o s ,a.ba'ti.dos
