a,6387,a ,a,'a
abajo,82,a ' B_o a . x o ,abajo,a'ba.xo
abeja,2,a ' B_o e . x a ,abeja,a'be.xa
abierta,11,a ' B_o j e 4 . t a ,abierta,a'bje4.ta
abiertas,1,a ' B_o j e 4 . t a s ,abiertas,a'bje4.tas
abierto,24,a ' B_o j e 4 . t o ,abierto,a'bje4.to
abordaje,1,a . B_o o 4 ' D_o a . x e ,abordaje,a.bo4'da.xe
abra,1,' a . B_o 4 a ,abra,'a.b4a
abramos,1,a ' B_o 4 a . m o s ,abramos,a'b4a.mos
abras,5,' a . B_o 4 a s ,abras,'a.b4as
abrazando,1,a . B_o 4 a ' T a n_d . d o ,abrazando,a.b4a'Tan.do
abrazo,2,a ' B_o 4 a . T o ,abrazo,a'b4a.To
abrazó,1,a . B_o 4 a ' T o ,abrazó,a.b4a'To
abre,167,' a . B_o 4 e ,abre,'a.b4e
ábre,1,' a . B_o 4 e ,ábre,'a.b4e
ábrela,1,' a . B_o 4 e . l a ,ábrela,'a.b4e.la
ábrele,1,' a . B_o 4 e . l e ,ábrele,'a.b4e.le
ábreles,1,' a . B_o 4 e . l e s ,ábreles,'a.b4e.les
ábrelo,5,' a . B_o 4 e . l o ,ábrelo,'a.b4e.lo
ábreme,4,' a . B_o 4 e . m e ,ábreme,'a.b4e.me
abren,16,' a . B_o 4 e n ,abren,'a.b4en
abres,14,' a . B_o 4 e s ,abres,'a.b4es
abrete,1,a ' B_o 4 e . t e ,abrete,a'b4e.te
ábrete,3,' a . B_o 4 e . t e ,ábrete,'a.b4e.te
abría,8,a ' B_o 4 i a ,abría,a'b4ia
abrían,3,a ' B_o 4 i a n ,abrían,a'b4ian
abrid,1,a ' B_o 4 i D ,abrid,a'b4id
abrida,3,a ' B_o 4 i . D_o a ,abrida,a'b4i.da
abrido,14,a ' B_o 4 i . D_o o ,abrido,a'b4i.do
abriendo,4,a ' B_o 4 j e n_d . d o ,abriendo,a'b4jen.do
abrigados,1,a . B_o 4 i ' G_o a . D_o o s ,abrigados,a.b4i'ga.dos
abrigo,7,a ' B_o 4 i . G_o o ,abrigo,a'b4i.go
abrigos,1,a ' B_o 4 i . G_o o s ,abrigos,a'b4i.gos
abril,1,a ' B_o 4 i l ,abril,a'b4il
abrimos,15,a ' B_o 4 i . m o s ,abrimos,a'b4i.mos
abrió,3,a ' B_o 4 j o ,abrió,a'b4jo
abrir,90,a ' B_o 4 i 4 ,abrir,a'b4i4
abrirá,1,a . B_o 4 i ' 4 a ,abrirá,a.b4i'4a
abrirla,2,a ' B_o 4 i 4 l a ,abrirla,a'b4i4la
abrirle,1,a ' B_o 4 i 4 l e ,abrirle,a'b4i4le
abrirlo,3,a ' B_o 4 i 4 l o ,abrirlo,a'b4i4lo
abrirlos,1,a ' B_o 4 i 4 l o s ,abrirlos,a'b4i4los
abrirme,3,a ' B_o 4 i 4 . m e ,abrirme,a'b4i4.me
abriros,1,a ' B_o 4 i . 4 o s ,abriros,a'b4i.4os
abrís,1,a ' B_o 4 i s ,abrís,a'b4is
abro,32,' a . B_o 4 o ,abro,'a.b4o
abuela,27,a ' B_o w e . l a ,abuela,a'bwe.la
abuelica,1,a . B_o w e ' l i . k a ,abuelica,a.bwe'li.ka
abuelico,2,a . B_o w e ' l i . k o ,abuelico,a.bwe'li.ko
abuelita,30,a . B_o w e ' l i . t a ,abuelita,a.bwe'li.ta
abuelito,12,a . B_o w e ' l i . t o ,abuelito,a.bwe'li.to
abuelo,34,a ' B_o w e . l o ,abuelo,a'bwe.lo
abuelos,3,a ' B_o w e . l o s ,abuelos,a'bwe.los
abulta,1,a ' B_o u l_d . t a ,abulta,a'bul.ta
aburrida,4,a . B_o u ' r i . D_o a ,aburrida,a.bu'ri.da
aburrido,2,a . B_o u ' r i . D_o o ,aburrido,a.bu'ri.do
aburro,3,a ' B_o u . r o ,aburro,a'bu.ro
acá,7,a ' k a ,acá,a'ka
acaba,13,a ' k a . B_o a ,acaba,a'ka.ba
acababa,1,a . k a ' B_o a . B_o a ,acababa,a.ka'ba.ba
acabada,1,a . k a ' B_o a . D_o a ,acabada,a.ka'ba.da
acabadito,1,a . k a . B_o a ' D_o i . t o ,acabadito,a.ka.ba'di.to
acabado,83,a . k a ' B_o a . D_o o ,acabado,a.ka'ba.do
acaban,1,a ' k a . B_o a n ,acaban,a'ka.ban
acabando,2,a . k a ' B_o a n_d . d o ,acabando,a.ka'ban.do
acabará,2,a . k a . B_o a ' 4 a ,acabará,a.ka.ba'4a
acabe,2,a ' k a . B_o e ,acabe,a'ka.be
acabo,5,a ' k a . B_o o ,acabo,a'ka.bo
acabó,71,a . k a ' B_o o ,acabó,a.ka'bo
acaso,4,a ' k a . s o ,acaso,a'ka.so
accidente,3,a g . T i ' D_o e n_d . t e ,accidente,ag.Ti'den.te
aceite,3,a ' T e i_^ . t e ,aceite,a'Tei.te
acera,2,a ' T e . 4 a ,acera,a'Te.4a
acerca,2,a ' T e 4 . k a ,acerca,a'Te4.ka
acércame,1,a ' T e 4 . k a . m e ,acércame,a'Te4.ka.me
acercando,1,a . T e 4 ' k a n_d . d o ,acercando,a.Te4'kan.do
acercar,2,a . T e 4 ' k a 4 ,acercar,a.Te4'ka4
acercaros,1,a . T e 4 ' k a . 4 o s ,acercaros,a.Te4'ka.4os
acercas,6,a ' T e 4 . k a s ,acercas,a'Te4.kas
acércate,1,a ' T e 4 . k a . t e ,acércate,a'Te4.ka.te
acerco,2,a ' T e 4 . k o ,acerco,a'Te4.ko
acerque,1,a ' T e 4 . k e ,acerque,a'Te4.ke
acompaña,1,a . k o m ' p a . J a ,acompaña,a.kom'pa.Ja
acompañaba,1,a . k o m . p a ' J a . B_o a ,acompañaba,a.kom.pa'Ja.ba
acompaño,1,a . k o m ' p a . J o ,acompaño,a.kom'pa.Jo
acordaba,2,a . k o 4 ' D_o a . B_o a ,acordaba,a.ko4'da.ba
acordabas,2,a . k o 4 ' D_o a . B_o a s ,acordabas,a.ko4'da.bas
acordamos,1,a . k o 4 ' D_o a . m o s ,acordamos,a.ko4'da.mos
acordaron,1,a . k o 4 ' D_o a . 4 o n ,acordaron,a.ko4'da.4on
acordé,2,a . k o 4 ' D_o e ,acordé,a.ko4'de
acordeón,1,a . k o 4 . D_o e ' o n ,acordeón,a.ko4.de'on
acostado,2,a . k o s ' t a . D_o o ,acostado,a.kos'ta.do
acostamos,3,a . k o s ' t a . m o s ,acostamos,a.kos'ta.mos
acostando,1,a . k o s ' t a n_d . d o ,acostando,a.kos'tan.do
acostar,4,a . k o s ' t a 4 ,acostar,a.kos'ta4
acostarlo,1,a . k o s ' t a 4 l o ,acostarlo,a.kos'ta4lo
acuarelas,1,a . k w a ' 4 e . l a s ,acuarelas,a.kwa'4e.las
acuerdas,14,a ' k w e 4 . D_o a s ,acuerdas,a'kwe4.das
acuérdate,1,a ' k w e 4 . D_o a . t e ,acuérdate,a'kwe4.da.te
acuerdo,31,a ' k w e 4 . D_o o ,acuerdo,a'kwe4.do
acuesta,2,a ' k w e s . t a ,acuesta,a'kwes.ta
acuestes,1,a ' k w e s . t e s ,acuestes,a'kwes.tes
adelante,21,a . D_o e ' l a n_d . t e ,adelante,a.de'lan.te
además,7,a . D_o e ' m a s ,además,a.de'mas
adentro,42,a ' D_o e n_d . t 4 o ,adentro,a'den.t4o
adiós,83,a ' D_o j o s ,adiós,a'djos
adivinas,1,a . D_o i ' B_o i . n a s ,adivinas,a.di'bi.nas
adorno,3,a ' D_o o 4 . n o ,adorno,a'do4.no
Adriana,1,a ' D_o 4 j a . n a ,Adriana,a'd4ja.na
afuera,16,a ' f w e . 4 a ,afuera,a'fwe.4a
agachada,1,a . G_o a ' tS a . D_o a ,agachada,a.ga'Ca.da
agacho,1,a ' G_o a . tS o ,agacho,a'ga.Co
agarra,13,a ' G_o a . r a ,agarra,a'ga.ra
agarraba,1,a . G_o a ' r a . B_o a ,agarraba,a.ga'ra.ba
agarraban,1,a . G_o a ' r a . B_o a n ,agarraban,a.ga'ra.ban
agarrado,2,a . G_o a ' r a . D_o o ,agarrado,a.ga'ra.do
agarramos,1,a . G_o a ' r a . m o s ,agarramos,a.ga'ra.mos
agarrando,1,a . G_o a ' r a n_d . d o ,agarrando,a.ga'ran.do
agarrándole,1,a . G_o a ' r a n_d . d o . l e ,agarrándole,a.ga'ran.do.le
agarrar,18,a . G_o a ' r a 4 ,agarrar,a.ga'ra4
agarraré,1,a . G_o a . r a ' 4 e ,agarraré,a.ga.ra'4e
agarrarte,1,a . G_o a ' r a 4 . t e ,agarrarte,a.ga'ra4.te
agarras,2,a ' G_o a . r a s ,agarras,a'ga.ras
agárrate,6,a ' G_o a . r a . t e ,agárrate,a'ga.ra.te
agarre,1,a ' G_o a . r e ,agarre,a'ga.re
agarro,5,a ' G_o a . r o ,agarro,a'ga.ro
agua,395,' a . G_o w a ,agua,'a.gwa
aguante,1,a ' G_o w a n_d . t e ,aguante,a'gwan.te
Aguapolis,1,a . G_o w a ' p o . l i s ,Aguapolis,a.gwa'po.lis
agüica,1,a ' G_o w i . k a ,agüica,a'gwi.ka
águila,1,' a . G_o i . l a ,águila,'a.gi.la
agüita,3,a ' G_o w i . t a ,agüita,a'gwi.ta
agujerico,1,a . G_o u . x e ' 4 i . k o ,agujerico,a.gu.xe'4i.ko
agujerito,3,a . G_o u . x e ' 4 i . t o ,agujerito,a.gu.xe'4i.to
agujero,19,a . G_o u ' x e . 4 o ,agujero,a.gu'xe.4o
agujeros,6,a . G_o u ' x e . 4 o s ,agujeros,a.gu'xe.4os
Agustín,2,a . G_o u s ' t i n ,Agustín,a.gus'tin
ahí,1090,a ' i ,ahí,a'i
ahoga,6,a ' o . G_o a ,ahoga,a'o.ga
ahogaban,2,a . o ' G_o a . B_o a n ,ahogaban,a.o'ga.ban
ahogado,1,a . o ' G_o a . D_o o ,ahogado,a.o'ga.do
ahogan,8,a ' o . G_o a n ,ahogan,a'o.gan
ahogando,2,a . o ' G_o a n_d . d o ,ahogando,a.o'gan.do
ahogar,5,a . o ' G_o a 4 ,ahogar,a.o'ga4
ahogen,1,a ' o . x e n ,ahogen,a'o.xen
ahogo,2,a ' o . G_o o ,ahogo,a'o.go
ahogue,1,a ' o . G_o e ,ahogue,a'o.ge
ahoguen,2,a ' o . G_o e n ,ahoguen,a'o.gen
ahora,2231,a ' o . 4 a ,ahora,a'o.4a
Ainara,2,a i_^ ' n a . 4 a ,Ainara,ai'na.4a
Ainhoa,25,a i_^ ' n o . a ,Ainhoa,ai'no.a
aire,9,' a i_^ . 4 e ,aire,'ai.4e
aires,1,' a i_^ . 4 e s ,aires,'ai.4es
Aitana,2,a i_^ ' t a . n a ,Aitana,ai'ta.na
Aitona,1,a i_^ ' t o . n a ,Aitona,ai'to.na
Aitor,2,a i_^ ' t o 4 ,Aitor,ai'to4
Aivón,2,a i_^ ' B_o o n ,Aivón,ai'bon
al,1128,a l ,al,'al
Ala,1,' a . l a ,Ala,'a.la
ála,140,' a . l a ,ála,'a.la
Alalar,1,a . l a ' l a 4 ,Alalar,a.la'la4
Alaluf,4,a . l a ' l u f ,Alaluf,a.la'luf
alarma,1,a ' l a 4 . m a ,alarma,a'la4.ma
alas,13,' a . l a s ,alas,'a.las
Alberto,2,a l ' B_o e 4 . t o ,Alberto,al'be4.to
Albi,1,' a l . B_o i ,Albi,'al.bi
albóndigas,2,a l ' B_o o n_d . d i . G_o a s ,albóndigas,al'bon.di.gas
alcohol,6,a l . k o ' o l ,alcohol,al.ko'ol
ále,14,' a . l e ,ále,'a.le
alegre,1,a ' l e . G_o 4 e ,alegre,a'le.g4e
alegres,1,a ' l e . G_o 4 e s ,alegres,a'le.g4es
alejando,1,a . l e ' x a n_d . d o ,alejando,a.le'xan.do
Alejandro,6,a . l e ' x a n_d . d 4 o ,Alejandro,a.le'xan.d4o
aletas,1,a ' l e . t a s ,aletas,a'le.tas
Alex,23,a ' l e k s ,Alex,a'leks
alfombra,10,a l ' f o m . b 4 a ,alfombra,al'fom.b4a
alforjas,1,a l ' f o 4 . x a s ,alforjas,al'fo4.xas
algo,38,' a l . G_o o ,algo,'al.go
algodón,1,a l . G_o o ' D_o o n ,algodón,al.go'don
alguien,32,' a l . G_o j e n ,alguien,'al.gjen
algún,6,a l ' G_o u n ,algún,al'gun
alguna,4,a l ' G_o u . n a ,alguna,al'gu.na
algunas,1,a l ' G_o u . n a s ,algunas,al'gu.nas
alguno,20,a l ' G_o u . n o ,alguno,al'gu.no
algunos,11,a l ' G_o u . n o s ,algunos,al'gu.nos
Alicia,1,a ' l i . T j a ,Alicia,a'li.Tja
Alis,1,' a . l i s ,Alis,'a.lis
allá,75,a ' j\\ a ,allá,a'La
allí,50,a ' j\\ i ,allí,a'Li
almohada,3,a l . m o ' a . D_o a ,almohada,al.mo'a.da
almuercito,1,a l . m w e 4 ' T i . t o ,almuercito,al.mwe4'Ti.to
almuerzo,1,a l ' m w e 4 . T o ,almuerzo,al'mwe4.To
alrededor,2,a l . r e . D_o e ' D_o o 4 ,alrededor,al.re.de'do4
Alsasu,2,a l ' s a . s u ,Alsasu,al'sa.su
alta,6,' a l_d . t a ,alta,'al.ta
altas,1,' a l_d . t a s ,altas,'al.tas
altísimo,1,a l_d ' t i . s i . m o ,altísimo,al'ti.si.mo
alto,30,' a l_d . t o ,alto,'al.to
alubias,4,a ' l u . B_o j a s ,alubias,a'lu.bjas
alumnos,1,a ' l u m . n o s ,alumnos,a'lum.nos
Álvaro,1,' a l . B_o a . 4 o ,Álvaro,'al.ba.4o
am,4,' ~a n ,am,'an
ama,75,' ~a . m a ,ama,'a.ma
amarilla,16,~a . m a ' 4 i . j\\ a ,amarilla,a.ma'4i.La
amarillas,3,~a . m a ' 4 i . j\\ a s ,amarillas,a.ma'4i.Las
amarillo,41,~a . m a ' 4 i . j\\ o ,amarillo,a.ma'4i.Lo
amarillos,2,~a . m a ' 4 i . j\\ o s ,amarillos,a.ma'4i.Los
amartillará,1,~a . m a 4 . t i . j\\ a ' 4 a ,amartillará,a.ma4.ti.La'4a
Amaya,42,~a ' m a . j\\ a ,Amaya,a'ma.La
ambulancia,8,~a m . b u ' l a n_d_+ . T j a ,ambulancia,am.bu'lan.Tja
ambulancias,2,~a m . b u ' l a n_d_+ . T j a s ,ambulancias,am.bu'lan.Tjas
amiga,11,~a ' m i . G_o a ,amiga,a'mi.ga
amigas,5,~a ' m i . G_o a s ,amigas,a'mi.gas
amigo,30,~a ' m i . G_o o ,amigo,a'mi.go
amigos,37,~a ' m i . G_o o s ,amigos,a'mi.gos
amiguicos,1,~a . m i ' G_o i . k o s ,amiguicos,a.mi'gi.kos
amiguita,6,~a . m i ' G_o i . t a ,amiguita,a.mi'gi.ta
amiguito,2,~a . m i ' G_o i . t o ,amiguito,a.mi'gi.to
amiguitos,6,~a . m i ' G_o i . t o s ,amiguitos,a.mi'gi.tos
amor,1,~a ' m o 4 ,amor,a'mo4
Amparico,1,~a m . p a ' 4 i . k o ,Amparico,am.pa'4i.ko
Ana,35,' ~a . n a ,Ana,'a.na
Anabel,1,~a . n a ' B_o e l ,Anabel,a.na'bel
anchoas,1,~a n_j ' tS o . a s ,anchoas,an'Co.as
ancla,21,' ~a n_g . k l a ,ancla,'an.kla
ancle,2,' ~a n_g . k l e ,ancle,'an.kle
anda,15,' ~a n_d . d a ,anda,'an.da
andá,3,~a n_d ' d a ,andá,an'da
ánda,4,' ~a n_d . d a ,ánda,'an.da
andaba,2,~a n_d ' d a . B_o a ,andaba,an'da.ba
andaban,1,~a n_d ' d a . B_o a n ,andaban,an'da.ban
andado,1,~a n_d ' d a . D_o o ,andado,an'da.do
andamos,1,~a n_d ' d a . m o s ,andamos,an'da.mos
andan,3,' ~a n_d . d a n ,andan,'an.dan
andando,20,~a n_d ' d a n_d . d o ,andando,an'dan.do
andar,30,~a n_d ' d a 4 ,andar,an'da4
andarino,1,~a n_d . d a ' 4 i . n o ,andarino,an.da'4i.no
andas,1,' ~a n_d . d a s ,andas,'an.das
ande,3,' ~a n_d . d e ,ande,'an.de
Ander,33,~a n_d ' d e 4 ,Ander,an'de4
ando,2,' ~a n_d . d o ,ando,'an.do
Andoni,7,~a n_d ' d o . n i ,Andoni,an'do.ni
Andrea,47,~a n_d ' d 4 e . a ,Andrea,an'd4e.a
Ane,1,' ~a . n e ,Ane,'a.ne
ángel,38,' ~a n_g . x e l ,ángel,'an.xel
Ángela,1,' ~a n_g . x e . l a ,Ángela,'an.xe.la
ángeles,3,' ~a n_g . x e . l e s ,ángeles,'an.xe.les
angelico,3,~a n_g . x e ' l i . k o ,angelico,an.xe'li.ko
Angelines,1,~a n_g . x e ' l i . n e s ,Angelines,an.xe'li.nes
angelito,17,~a n_g . x e ' l i . t o ,angelito,an.xe'li.to
anillo,1,~a ' n i . j\\ o ,anillo,a'ni.Lo
animal,10,~a . n ~i ' m a l ,animal,a.ni'mal
animales,163,~a . n ~i ' m a . l e s ,animales,a.ni'ma.les
animalicos,3,~a . n ~i . m a ' l i . k o s ,animalicos,a.ni.ma'li.kos
animalitos,9,~a . n ~i . m a ' l i . t o s ,animalitos,a.ni.ma'li.tos
Anita,1,~a ' n i . t a ,Anita,a'ni.ta
año,4,' ~a . J o ,año,'a.Jo
anoche,2,~a ' n o . tS e ,anoche,a'no.Ce
años,16,' ~a . J o s ,años,'a.Jos
Ánquel,1,' ~a n_g . k e l ,Ánquel,'an.kel
antena,1,~a n_d ' t e . n a ,antena,an'te.na
antes,34,' ~a n_d . t e s ,antes,'an.tes
Antolo,1,~a n_d ' t o . l o ,Antolo,an'to.lo
Anuka,1,~a ' n u . k a ,Anuka,a'nu.ka
Anuska,1,~a ' n u s . k a ,Anuska,a'nus.ka
apaga,2,a ' p a . G_o a ,apaga,a'pa.ga
