5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
3.03,abajo,106,abajo,abajo,abajo,RG,abajo,a ' B_o a . x o ,abajo,a ' B_o a . x o ,abajo,a ' b a . x o ,abajo,a ' b a . x o ,abajo,a'ba.xo,abajo,a'ba.xo
1.3,abandonado,2,abandonado,abandonar,abandonar,VMP,abandonar,a . B_o a n_d . d o ' n a 4 ,abandonado,a . B_o a n_d . d o ' n a . D_o o ,abandonar,a . b a n . d o ' n a 4 ,abandonado,a . b a n . d o ' n a . d o ,abandonar,a.ban.do'na4,abandonado,a.ban.do'na.do
1,abandonados,1,abandonados,abandonar,abandonar,VMP,abandonar,a . B_o a n_d . d o ' n a 4 ,abandonados,a . B_o a n_d . d o ' n a . D_o o s ,abandonar,a . b a n . d o ' n a 4 ,abandonados,a . b a n . d o ' n a . d o s ,abandonar,a.ban.do'na4,abandonados,a.ban.do'na.dos
1.6,abeja,4,abeja,abeja,abeja,NC,abeja,a ' B_o e . x a ,abeja,a ' B_o e . x a ,abeja,a ' b e . x a ,abeja,a ' b e . x a ,abeja,a'be.xa,abeja,a'be.xa
2.34,abierta,22,abierta,abrir,abrir,VMP,abrir,a ' B_o 4 i 4 ,abierta,a ' B_o j e 4 . t a ,abrir,a ' b 4 i 4 ,abierta,a ' b j e 4 . t a ,abrir,a'b4i4,abierta,a'bje4.ta
2.32,abierto,21,abierto,abrir,abrir,VMP,abrir,a ' B_o 4 i 4 ,abierto,a ' B_o j e 4 . t o ,abrir,a ' b 4 i 4 ,abierto,a ' b j e 4 . t o ,abrir,a'b4i4,abierto,a'bje4.to
1.9,abra,8,abra,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abra,' a . B_o 4 a ,abrir,a ' b 4 i 4 ,abra,' a . b 4 a ,abrir,a'b4i4,abra,'a.b4a
1,abráis,1,abráis,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abráis,a ' B_o 4 a i_^ s ,abrir,a ' b 4 i 4 ,abráis,a ' b 4 a i s ,abrir,a'b4i4,abráis,a'b4ais
1,abramos,1,abramos,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abramos,a ' B_o 4 a . m o s ,abrir,a ' b 4 i 4 ,abramos,a ' b 4 a . m o s ,abrir,a'b4i4,abramos,a'b4a.mos
1.48,abran,3,abran,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abran,' a . B_o 4 a n ,abrir,a ' b 4 i 4 ,abran,' a . b 4 a n ,abrir,a'b4i4,abran,'a.b4an
1.3,abras,2,abras,abra,abra,NC,abra,' a . B_o 4 a ,abras,' a . B_o 4 a s ,abra,' a . b 4 a ,abras,' a . b 4 a s ,abra,'a.b4a,abras,'a.b4as
1.48,abraza,3,abraza,abrazar,abrazar,VMI,abrazar,a . B_o 4 a ' T a 4 ,abraza,a ' B_o 4 a . T a ,abrazar,a . b 4 a ' T a 4 ,abraza,a ' b 4 a . T a ,abrazar,a.b4a'Ta4,abraza,a'b4a.Ta
1.78,abrazo,6,abrazo,abrazo,abrazo,NC,abrazo,a ' B_o 4 a . T o ,abrazo,a ' B_o 4 a . T o ,abrazo,a ' b 4 a . T o ,abrazo,a ' b 4 a . T o ,abrazo,a'b4a.To,abrazo,a'b4a.To
1,abrazos,1,abrazos,abrazo,abrazo,NC,abrazo,a ' B_o 4 a . T o ,abrazos,a ' B_o 4 a . T o s ,abrazo,a ' b 4 a . T o ,abrazos,a ' b 4 a . T o s ,abrazo,a'b4a.To,abrazos,a'b4a.Tos
3.08,abre,119,abre,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abre,' a . B_o 4 e ,abrir,a ' b 4 i 4 ,abre,' a . b 4 e ,abrir,a'b4i4,abre,'a.b4e
1.48,ábrela,3,ábrela,abrir+lo,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrela,' a . B_o 4 e . l a ,abrir,a ' b 4 i 4 ,ábrela,' a . b 4 e . l a ,abrir,a'b4i4,ábrela,'a.b4e.la
1,ábrelas,1,ábrelas,abrir+lo,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrelas,' a . B_o 4 e . l a s ,abrir,a ' b 4 i 4 ,ábrelas,' a . b 4 e . l a s ,abrir,a'b4i4,ábrelas,'a.b4e.las
1.7,ábrele,5,ábrele,abrir+le,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrele,' a . B_o 4 e . l e ,abrir,a ' b 4 i 4 ,ábrele,' a . b 4 e . l e ,abrir,a'b4i4,ábrele,'a.b4e.le
1.3,ábreles,2,ábreles,abrir+le,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábreles,' a . B_o 4 e . l e s ,abrir,a ' b 4 i 4 ,ábreles,' a . b 4 e . l e s ,abrir,a'b4i4,ábreles,'a.b4e.les
1.6,ábrelo,4,ábrelo,abrir+lo,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrelo,' a . B_o 4 e . l o ,abrir,a ' b 4 i 4 ,ábrelo,' a . b 4 e . l o ,abrir,a'b4i4,ábrelo,'a.b4e.lo
