4.81,a,6387,a,a,a,SP,a,a ,a,a ,a,' a,a,' a,a,'a,a,'a
2.91,abajo,82,abajo,abajo,abajo,RG,abajo,a ' B_o a . x o ,abajo,a ' B_o a . x o ,abajo,a ' b a . x o ,abajo,a ' b a . x o ,abajo,a'ba.xo,abajo,a'ba.xo
1.3,abeja,2,abeja,abeja,abeja,NC,abeja,a ' B_o e . x a ,abeja,a ' B_o e . x a ,abeja,a ' b e . x a ,abeja,a ' b e . x a ,abeja,a'be.xa,abeja,a'be.xa
2.04,abierta,11,abierta,abrir,abrir,VMP,abrir,a ' B_o 4 i 4 ,abierta,a ' B_o j e 4 . t a ,abrir,a ' b 4 i 4 ,abierta,a ' b j e 4 . t a ,abrir,a'b4i4,abierta,a'bje4.ta
1,abiertas,1,abiertas,abrir,abrir,VMP,abrir,a ' B_o 4 i 4 ,abiertas,a ' B_o j e 4 . t a s ,abrir,a ' b 4 i 4 ,abiertas,a ' b j e 4 . t a s ,abrir,a'b4i4,abiertas,a'bje4.tas
2.38,abierto,24,abierto,abrir,abrir,VMP,abrir,a ' B_o 4 i 4 ,abierto,a ' B_o j e 4 . t o ,abrir,a ' b 4 i 4 ,abierto,a ' b j e 4 . t o ,abrir,a'b4i4,abierto,a'bje4.to
1,abordaje,1,abordaje,abordaje,abordaje,NC,abordaje,a . B_o o 4 ' D_o a . x e ,abordaje,a . B_o o 4 ' D_o a . x e ,abordaje,a . b o 4 ' d a . x e ,abordaje,a . b o 4 ' d a . x e ,abordaje,a.bo4'da.xe,abordaje,a.bo4'da.xe
1,abra,1,abra,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abra,' a . B_o 4 a ,abrir,a ' b 4 i 4 ,abra,' a . b 4 a ,abrir,a'b4i4,abra,'a.b4a
1,abramos,1,abramos,abrir,abrir,VMS,abrir,a ' B_o 4 i 4 ,abramos,a ' B_o 4 a . m o s ,abrir,a ' b 4 i 4 ,abramos,a ' b 4 a . m o s ,abrir,a'b4i4,abramos,a'b4a.mos
1.7,abras,5,abras,abra,abra,NC,abra,' a . B_o 4 a ,abras,' a . B_o 4 a s ,abra,' a . b 4 a ,abras,' a . b 4 a s ,abra,'a.b4a,abras,'a.b4as
1,abrazando,1,abrazando,abrazar,abrazar,VMG,abrazar,a . B_o 4 a ' T a 4 ,abrazando,a . B_o 4 a ' T a n_d . d o ,abrazar,a . b 4 a ' T a 4 ,abrazando,a . b 4 a ' T a n . d o ,abrazar,a.b4a'Ta4,abrazando,a.b4a'Tan.do
1.3,abrazo,2,abrazo,abrazo,abrazo,NC,abrazo,a ' B_o 4 a . T o ,abrazo,a ' B_o 4 a . T o ,abrazo,a ' b 4 a . T o ,abrazo,a ' b 4 a . T o ,abrazo,a'b4a.To,abrazo,a'b4a.To
1,abrazó,1,abrazó,abrazar,abrazar,VMI,abrazar,a . B_o 4 a ' T a 4 ,abrazó,a . B_o 4 a ' T o ,abrazar,a . b 4 a ' T a 4 ,abrazó,a . b 4 a ' T o ,abrazar,a.b4a'Ta4,abrazó,a.b4a'To
3.22,abre,167,abre,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abre,' a . B_o 4 e ,abrir,a ' b 4 i 4 ,abre,' a . b 4 e ,abrir,a'b4i4,abre,'a.b4e
1,ábre,1,ábre,ábre,ábre,NC,ábre,' a . B_o 4 e ,ábre,' a . B_o 4 e ,ábre,' a . b 4 e ,ábre,' a . b 4 e ,ábre,'a.b4e,ábre,'a.b4e
1,ábrela,1,ábrela,abrir+lo,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrela,' a . B_o 4 e . l a ,abrir,a ' b 4 i 4 ,ábrela,' a . b 4 e . l a ,abrir,a'b4i4,ábrela,'a.b4e.la
1,ábrele,1,ábrele,abrir+le,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrele,' a . B_o 4 e . l e ,abrir,a ' b 4 i 4 ,ábrele,' a . b 4 e . l e ,abrir,a'b4i4,ábrele,'a.b4e.le
1,ábreles,1,ábreles,abrir+le,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábreles,' a . B_o 4 e . l e s ,abrir,a ' b 4 i 4 ,ábreles,' a . b 4 e . l e s ,abrir,a'b4i4,ábreles,'a.b4e.les
1.7,ábrelo,5,ábrelo,abrir+lo,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábrelo,' a . B_o 4 e . l o ,abrir,a ' b 4 i 4 ,ábrelo,' a . b 4 e . l o ,abrir,a'b4i4,ábrelo,'a.b4e.lo
1.6,ábreme,4,ábreme,abrir+me,abrir,VMM+PP,abrir,a ' B_o 4 i 4 ,ábreme,' a . B_o 4 e . m e ,abrir,a ' b 4 i 4 ,ábreme,' a . b 4 e . m e ,abrir,a'b4i4,ábreme,'a.b4e.me
2.2,abren,16,abren,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abren,' a . B_o 4 e n ,abrir,a ' b 4 i 4 ,abren,' a . b 4 e n ,abrir,a'b4i4,abren,'a.b4en
2.15,abres,14,abres,abrir,abrir,VMI,abrir,a ' B_o 4 i 4 ,abres,' a . B_o 4 e s ,abrir,a ' b 4 i 4 ,abres,' a . b 4 e s ,abrir,a'b4i4,abres,'a.b4es
