Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B sum     	B avg     	ND        	Neighbors 
A         	1         	0.019925  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.019925  	0.019925  	N/A       	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	N/A       	N/A       	18        	xA wA tA As An Al lA dA AT bA LA U Au O I aI Ai E 
abAxo     	5         	0.0774    	0.019126  	0.03288   	0.007919  	0.056409  	--        	--        	--        	--        	--        	--        	--        	--        	0.193734  	0.038747  	0.012287  	0.000379  	0.001103  	0.000882  	--        	--        	--        	--        	--        	--        	--        	--        	0.014652  	0.003663  	2         	baxO bAxo 
abExa     	5         	0.0774    	0.019126  	0.06555   	0.007919  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	0.276557  	0.055311  	0.012287  	0.001427  	0.001593  	0.002097  	--        	--        	--        	--        	--        	--        	--        	--        	0.017403  	0.004351  	1         	obExa 
abjE4ta   	7         	0.0774    	0.019126  	0.004569  	0.054536  	0.106466  	0.050821  	0.120673  	--        	--        	--        	--        	--        	--        	0.433591  	0.061942  	0.012287  	0.000926  	0.002978  	0.023214  	0.00579   	0.021302  	--        	--        	--        	--        	--        	--        	0.066497  	0.011083  	2         	abjE4tas abjE4to 
abjE4tas  	8         	0.0774    	0.019126  	0.004569  	0.054536  	0.106466  	0.050821  	0.120673  	0.145817  	--        	--        	--        	--        	--        	0.579408  	0.072426  	0.012287  	0.000926  	0.002978  	0.023214  	0.00579   	0.021302  	0.043919  	--        	--        	--        	--        	--        	0.110416  	0.015774  	1         	abjE4ta 
abjE4to   	7         	0.0774    	0.019126  	0.004569  	0.054536  	0.106466  	0.050821  	0.150231  	--        	--        	--        	--        	--        	--        	0.463149  	0.066164  	0.012287  	0.000926  	0.002978  	0.023214  	0.00579   	0.018731  	--        	--        	--        	--        	--        	--        	0.063926  	0.010654  	1         	abjE4ta 
abo4dAxe  	8         	0.0774    	0.019126  	0.017241  	0.057745  	0.052903  	0.06972   	0.003695  	0.064852  	--        	--        	--        	--        	--        	0.362681  	0.045335  	0.012287  	0.00026   	0.001346  	0.008646  	0.00889   	0.001785  	0.001157  	--        	--        	--        	--        	--        	0.034372  	0.00491   	0         	
Ab4a      	4         	0.019925  	0.019126  	0.103669  	0.116044  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.258764  	0.064691  	0.00335   	0.007551  	0.011972  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.022873  	0.007624  	12        	a4A Ab4as sab4A Abla kab4A kAb4a Ab4o aO4a ab4Ia abIa Ab4e ab4A 
ab4Amos   	7         	0.0774    	0.019126  	0.103669  	0.100855  	0.029643  	0.13705   	0.144516  	--        	--        	--        	--        	--        	--        	0.612259  	0.087466  	0.012287  	0.007551  	0.014977  	0.008076  	0.02095   	0.06169   	--        	--        	--        	--        	--        	--        	0.125532  	0.020922  	3         	ablAmos ab4Imos abIamos 
Ab4as     	5         	0.019925  	0.019126  	0.103669  	0.116044  	0.06679   	--        	--        	--        	--        	--        	--        	--        	--        	0.325555  	0.065111  	0.00335   	0.007551  	0.011972  	0.02193   	--        	--        	--        	--        	--        	--        	--        	--        	0.044803  	0.011201  	10        	ab4A Ab4a Abas a4As at4As sab4As kAb4as ab4Is abIas Ab4es 
ab4aTAndo 	9         	0.0774    	0.019126  	0.103669  	0.116044  	0.015732  	0.06972   	0.086988  	0.059799  	0.233056  	--        	--        	--        	--        	0.781535  	0.086837  	0.012287  	0.007551  	0.011972  	0.001231  	0.001779  	0.023395  	0.029196  	0.109037  	--        	--        	--        	--        	0.196449  	0.024556  	0         	
ab4ATo    	6         	0.0774    	0.019126  	0.103669  	0.100855  	0.015732  	0.13705   	--        	--        	--        	--        	--        	--        	--        	0.453832  	0.075639  	0.012287  	0.007551  	0.014977  	0.001683  	0.001704  	--        	--        	--        	--        	--        	--        	--        	0.038203  	0.007641  	2         	b4ATo ab4aTO 
ab4aTO    	6         	0.0774    	0.019126  	0.103669  	0.116044  	0.015732  	0.016862  	--        	--        	--        	--        	--        	--        	--        	0.348833  	0.058139  	0.012287  	0.007551  	0.011972  	0.001231  	0.001661  	--        	--        	--        	--        	--        	--        	--        	0.034702  	0.00694   	2         	b4ATo ab4ATo 
Ab4e      	4         	0.019925  	0.019126  	0.103669  	0.076687  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.219407  	0.054852  	0.00335   	0.007551  	0.007594  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.018495  	0.006165  	9         	a4E Ab4es Ab4en Amb4e Able Ab4o Ai4e ab4A Ab4a 
Ab4e      	4         	0.019925  	0.019126  	0.103669  	0.076687  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.219407  	0.054852  	0.00335   	0.007551  	0.007594  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.018495  	0.006165  	9         	a4E Ab4es Ab4en Amb4e Able Ab4o Ai4e ab4A Ab4a 
Ab4ela    	6         	0.019925  	0.019126  	0.103669  	0.076687  	0.040113  	0.145787  	--        	--        	--        	--        	--        	--        	--        	0.405308  	0.067551  	0.00335   	0.007551  	0.007594  	0.007588  	0.009275  	--        	--        	--        	--        	--        	--        	--        	0.035358  	0.007072  	3         	abwEla Ab4elo Ab4ele 
Ab4ele    	6         	0.019925  	0.019126  	0.103669  	0.076687  	0.040113  	0.05723   	--        	--        	--        	--        	--        	--        	--        	0.316751  	0.052792  	0.00335   	0.007551  	0.007594  	0.007588  	0.009044  	--        	--        	--        	--        	--        	--        	--        	0.035127  	0.007025  	6         	ab4Ete Ab4ete Ab4eles Ab4eme Ab4elo Ab4ela 
Ab4eles   	7         	0.019925  	0.019126  	0.103669  	0.076687  	0.040113  	0.05723   	0.144516  	--        	--        	--        	--        	--        	--        	0.461267  	0.065895  	0.00335   	0.007551  	0.007594  	0.007588  	0.009044  	0.02535   	--        	--        	--        	--        	--        	--        	0.060477  	0.01008   	1         	Ab4ele 
Ab4elo    	6         	0.019925  	0.019126  	0.103669  	0.076687  	0.040113  	0.13705   	--        	--        	--        	--        	--        	--        	--        	0.39657   	0.066095  	0.00335   	0.007551  	0.007594  	0.007588  	0.010609  	--        	--        	--        	--        	--        	--        	--        	0.036692  	0.007338  	3         	abwElo Ab4ele Ab4ela 
Ab4eme    	6         	0.019925  	0.019126  	0.103669  	0.076687  	0.029643  	0.05723   	--        	--        	--        	--        	--        	--        	--        	0.30628   	0.051047  	0.00335   	0.007551  	0.007594  	0.000576  	0.005466  	--        	--        	--        	--        	--        	--        	--        	0.024536  	0.004907  	3         	ab4Ete Ab4ete Ab4ele 
Ab4en     	5         	0.019925  	0.019126  	0.103669  	0.076687  	0.092861  	--        	--        	--        	--        	--        	--        	--        	--        	0.312268  	0.062454  	0.00335   	0.007551  	0.007594  	0.014434  	--        	--        	--        	--        	--        	--        	--        	--        	0.032928  	0.008232  	2         	Ab4e Ab4es 
Ab4es     	5         	0.019925  	0.019126  	0.103669  	0.076687  	0.06679   	--        	--        	--        	--        	--        	--        	--        	--        	0.286198  	0.05724   	0.00335   	0.007551  	0.007594  	0.014647  	--        	--        	--        	--        	--        	--        	--        	--        	0.033142  	0.008285  	5         	Ab4e Ab4en ab4Is Ai4es Ab4as 
ab4Ete    	6         	0.0774    	0.019126  	0.103669  	0.054536  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	0.392468  	0.065411  	0.012287  	0.007551  	0.006048  	0.006747  	0.016791  	--        	--        	--        	--        	--        	--        	--        	0.049425  	0.009885  	3         	Ab4eme Ab4ele Ab4ete 
Ab4ete    	6         	0.019925  	0.019126  	0.103669  	0.076687  	0.080506  	0.05723   	--        	--        	--        	--        	--        	--        	--        	0.357144  	0.059524  	0.00335   	0.007551  	0.007594  	0.004963  	0.016791  	--        	--        	--        	--        	--        	--        	--        	0.040249  	0.00805   	3         	Ab4eme Ab4ele ab4Ete 
ab4Ia     	5         	0.0774    	0.019126  	0.103669  	0.067935  	0.106561  	--        	--        	--        	--        	--        	--        	--        	--        	0.374692  	0.074938  	0.012287  	0.007551  	0.00866   	0.014166  	--        	--        	--        	--        	--        	--        	--        	--        	0.042664  	0.010666  	11        	ab4A Ab4a abIa a4Ia ab4Is ab4I4 ab4i4A ab4Ian ab4Il ab4Id ab4Ida 
ab4Ian    	6         	0.0774    	0.019126  	0.103669  	0.067935  	0.106561  	0.082653  	--        	--        	--        	--        	--        	--        	--        	0.457345  	0.076224  	0.012287  	0.007551  	0.00866   	0.014166  	0.019563  	--        	--        	--        	--        	--        	--        	--        	0.062227  	0.012445  	2         	ab4Ia abIan 
ab4Id     	5         	0.0774    	0.019126  	0.103669  	0.067935  	0.052903  	--        	--        	--        	--        	--        	--        	--        	--        	0.321033  	0.064207  	0.012287  	0.007551  	0.00866   	0.008845  	--        	--        	--        	--        	--        	--        	--        	--        	0.037344  	0.009336  	6         	ab4Is ab4I4 ab4Il ab4Ido ab4Ia ab4Ida 
ab4Ida    	6         	0.0774    	0.019126  	0.103669  	0.067935  	0.052903  	0.145787  	--        	--        	--        	--        	--        	--        	--        	0.46682   	0.077803  	0.012287  	0.007551  	0.00866   	0.008845  	0.012473  	--        	--        	--        	--        	--        	--        	--        	0.049817  	0.009963  	4         	ab4Id ab4Ia ab4i4A ab4Ido 
ab4Ido    	6         	0.0774    	0.019126  	0.103669  	0.067935  	0.052903  	0.13705   	--        	--        	--        	--        	--        	--        	--        	0.458083  	0.076347  	0.012287  	0.007551  	0.00866   	0.008845  	0.032526  	--        	--        	--        	--        	--        	--        	--        	0.06987   	0.013974  	3         	ab4Id ab4Igo ab4Ida 
ab4jEndo  	8         	0.0774    	0.019126  	0.103669  	0.022171  	0.036092  	0.082653  	0.058006  	0.22511   	--        	--        	--        	--        	--        	0.624227  	0.078028  	0.012287  	0.007551  	0.003411  	0.014085  	0.013904  	0.030464  	0.079169  	--        	--        	--        	--        	--        	0.160872  	0.022982  	0         	
ab4igAdos 	9         	0.0774    	0.019126  	0.103669  	0.030168  	0.006539  	0.06972   	0.058006  	0.22511   	0.240271  	--        	--        	--        	--        	0.830009  	0.092223  	0.012287  	0.007551  	0.002638  	0.001624  	0.002115  	0.021804  	0.079169  	0.132575  	--        	--        	--        	--        	0.259764  	0.032471  	0         	
ab4Igo    	6         	0.0774    	0.019126  	0.103669  	0.067935  	0.006539  	0.13705   	--        	--        	--        	--        	--        	--        	--        	0.411719  	0.06862   	0.012287  	0.007551  	0.00866   	0.000983  	0.001452  	--        	--        	--        	--        	--        	--        	--        	0.030932  	0.006186  	2         	ab4Igos ab4Ido 
ab4Igos   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.006539  	0.13705   	0.144516  	--        	--        	--        	--        	--        	--        	0.556236  	0.079462  	0.012287  	0.007551  	0.00866   	0.000983  	0.001452  	0.06169   	--        	--        	--        	--        	--        	--        	0.092623  	0.015437  	3         	ab4Igo ab4I4os ab4Imos 
ab4Il     	5         	0.0774    	0.019126  	0.103669  	0.067935  	0.040113  	--        	--        	--        	--        	--        	--        	--        	--        	0.308244  	0.061649  	0.012287  	0.007551  	0.00866   	0.001577  	--        	--        	--        	--        	--        	--        	--        	--        	0.030076  	0.007519  	4         	ab4Is ab4I4 ab4Id ab4Ia 
ab4Imos   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.029643  	0.13705   	0.144516  	--        	--        	--        	--        	--        	--        	0.57934   	0.082763  	0.012287  	0.007551  	0.00866   	0.002102  	0.02095   	0.06169   	--        	--        	--        	--        	--        	--        	0.11324   	0.018873  	3         	ab4I4os ab4Igos ab4Amos 
ab4jO     	5         	0.0774    	0.019126  	0.103669  	0.022171  	0.014206  	--        	--        	--        	--        	--        	--        	--        	--        	0.236572  	0.047314  	0.012287  	0.007551  	0.003411  	0.003266  	--        	--        	--        	--        	--        	--        	--        	--        	0.026516  	0.006629  	1         	Ab4o 
ab4I4     	5         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	--        	--        	--        	--        	--        	--        	--        	--        	0.374597  	0.074919  	0.012287  	0.007551  	0.00866   	0.006498  	--        	--        	--        	--        	--        	--        	--        	--        	0.034996  	0.008749  	5         	ab4Is ab4Il ab4Id ab4Ia ab4i4A 
ab4i4A    	6         	0.0774    	0.019126  	0.103669  	0.030168  	0.106466  	0.06972   	--        	--        	--        	--        	--        	--        	--        	0.406549  	0.067758  	0.012287  	0.007551  	0.002638  	0.000847  	0.014935  	--        	--        	--        	--        	--        	--        	--        	0.038259  	0.007652  	4         	ab4I4 ab4Ia ab4I4la ab4Ida 
ab4I4la   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	0.041889  	0.120673  	--        	--        	--        	--        	--        	--        	0.537158  	0.076737  	0.012287  	0.007551  	0.00866   	0.006498  	0.016963  	0.013883  	--        	--        	--        	--        	--        	--        	0.065843  	0.010974  	3         	ab4i4A ab4I4lo ab4I4le 
ab4I4le   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	0.041889  	0.061207  	--        	--        	--        	--        	--        	--        	0.477692  	0.068242  	0.012287  	0.007551  	0.00866   	0.006498  	0.016963  	0.015431  	--        	--        	--        	--        	--        	--        	0.067391  	0.011232  	3         	ab4I4me ab4I4lo ab4I4la 
ab4I4lo   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	0.041889  	0.150231  	--        	--        	--        	--        	--        	--        	0.566717  	0.08096   	0.012287  	0.007551  	0.00866   	0.006498  	0.016963  	0.014745  	--        	--        	--        	--        	--        	--        	0.066705  	0.011117  	3         	ab4I4los ab4I4le ab4I4la 
ab4I4los  	8         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	0.041889  	0.150231  	0.145817  	--        	--        	--        	--        	--        	0.712534  	0.089067  	0.012287  	0.007551  	0.00866   	0.006498  	0.016963  	0.014745  	0.06856   	--        	--        	--        	--        	--        	0.135265  	0.019324  	2         	ab4I4lo ab4I4os 
ab4I4me   	7         	0.0774    	0.019126  	0.103669  	0.067935  	0.106466  	0.013021  	0.061207  	--        	--        	--        	--        	--        	--        	0.448825  	0.064118  	0.012287  	0.007551  	0.00866   	0.006498  	0.004382  	0.005365  	--        	--        	--        	--        	--        	--        	0.044744  	0.007457  	1         	ab4I4le 
